('gelingt', 'manag', 'logr', 'onnistu')
('gelung', 'succeed', 'consegu', 'onnistutu')
('geling', 'succeed', 'logr', 'onnistu')
('geschafft', 'manag', 'consegu', 'onnistunu')
('geling', 'succeed', 'ten', 'onnistu')
('geling', 'succeed', 'exit', 'onnistu')
('gelung', 'succeed', 'consegu', 'onnistunu')
('gelung', 'manag', 'consegu', 'onnistun')
('gelung', 'manag', 'consegu', 'onnistunu')
('gelung', 'abl', 'pod', 'pystyi')
('gelung', 'manag', 'consegu', 'pystyn')
('geschafft', 'manag', 'consegu', 'onnistun')
('gelung', 'manag', 'creo_consegu', 'onnistui')
('gelung', 'succeed', 'logr', 'onnistun')
('gelingt', 'succeed', 'logr', 'onnistu')
('gelung', 'manag', 'logr', 'onnistun')
('gelingt', 'succeed', 'exit', 'onnistu')
('geling', 'succeed', 'consegu', 'onnistu')
('gelung', 'success', 'consegu', 'onnistun')
('gelung', 'succeed', 'logr', 'onnistui')
('gelingt', 'manag', 'consig', 'onnistu')
('gelung', 'manag', 'consegu', 'onnistui')
('bewalt', 'manag', 'gestion', 'hoitam')
('gelingt', 'manag', 'consig', 'pystyy')
('bewalt', 'tackl', 'afront', 'käsiteltäv')
('gelung', 'manag', 'logr', 'onnistunu')
('gelingt', 'succeed', 'consig', 'onnistu')
('gelung', 'manag', 'logr', 'onnistutu')
('geschafft', 'manag', 'logr', 'onnistun')
('gelingt', 'succeed', 'consegu', 'onnistu')
('gelung', 'manag', 'consigu', 'onnistui')
('gelung', 'manag', 'logr', 'onnistui')
('gelung', 'succeed', 'consegu', 'onnistu')
('erled', 'do', 'hac', 'tekev')
('gelingt', 'manag', 'consig', 'onnistuv')
('geschafft', 'succeed', 'logr', 'onnistun')
('gelung', 'succeed', 'pud', 'onnistui')
('geling', 'work', 'funcion', 'onnistu')
('gelung', 'good', 'buen', 'hyvä')
('bewalt', 'deal', 'abord', 'ratkaisemis')
('geschafft', 'in', 'logr', 'onnistuit')
('geschafft', 'manag', 'consegu', 'onnistutu')
('geling', 'happen', 'ocurr', 'tapahtu')
('geling', 'be', 'consegu', 'onnistu')
('geschafft', 'manag', 'logr', 'onnistui')
('gelung', 'succeed', 'consegu', 'onnistun')
('gelingt', 'manag', 'consegu', 'onnistu')
('gelingt', 'succeed', 'tien', 'onnistu')
('gelung', 'succeed', 'pod', 'onnistunu')
('gelingt', 'manag', 'logr', 'onnistui')
('geling', 'abl', 'capac', 'pysty')
('gelung', 'abl', 'consegu', 'saane')
('meist', 'face', 'afront', 'kohtaam')
('bewalt', 'overcom', 'super', 'voittam')
('gelingt', 'manag', 'lleg', 'onnistu')
('bewalt', 'deal', 'afront', 'ratk')
('gelingt', 'manag', 'logr', 'pystyy')
('geling', 'enabl', 'permit', 'mahdollisuud')
('gelung', 'manag', 'logr', 'onnistu')
('bewalt', 'cope', 'hac', 'selv')
('gelingt', 'succeed', 'logr', 'onnistuv')
('gelingt', 'succeed', 'prosper', 'onnistu')
('schaff', 'remedi', 'remedi', 'korj')
('gelung', 'manag', 'consigu', 'onnistuiv')
('gelingt', 'succeed', 'consig', 'onnistuv')
('gelung', 'succeed', 'consigu', 'onnistunu')
('geschafft', 'manag', 'consegu', 'onnistui')
('geling', 'do', 'consegu', 'tehd')
('gelung', 'succeeded_in', 'logr', 'onnistui')
('meist', 'overcom', 'super', 'voit')
('gelung', 'success', 'exit', 'onnistui')
('gelung', 'succeeded_in', 'consegu', 'onnistui')
