('erreich', 'achiev', 'logr', 'siihe')
('erreich', 'achiev', 'consegu', 'toteut')
('erreich', 'achiev', 'alcanz', 'saavu')
('erreich', 'achiev', 'consegu', 'saavuttamis')
('erreich', 'achiev', 'consegu', 'saavuttamin')
('erreich', 'achiev', 'consegu', 'saada_ai')
('erreich', 'achiev', 'alcanz', 'saavut')
('erreich', 'achiev', 'logr', 'saavuttam')
('erreich', 'achiev', 'consegu', 'saavut')
('erreich', 'achiev', 'logr', 'saavuttamis')
('erreich', 'achiev', 'logr', 'saavut')
('erreich', 'achiev', 'alcanz', 'pääs')
('erreich', 'achiev', 'alcanz', 'saavutettav')
('erreich', 'achiev', 'alcanz', 'päästäv')
('erreich', 'achiev', 'logr', 'saada')
('erreich', 'achiev', 'alcanz', 'saavuttam')
('erreich', 'achiev', 'consegu', 'saavuttam')
('erreich', 'achiev', 'alcanc', 'saavut')
('erreich', 'achiev', 'alcanz', 'saavuttamin')
('erreich', 'achiev', 'obten', 'pääs')
('erreich', 'achiev', 'alcanz', 'saavuttamis')
('erreich', 'achiev', 'logr', 'pääs')
('erreich', 'achiev', 'alcanz', 'toteut')
('erreich', 'achiev', 'alcanc', 'saavu')
('erreich', 'achiev', 'consecu', 'saavuttam')
('erreich', 'achiev', 'consegu', 'pääs')
('erreich', 'achiev', 'consegu', 'saavuttav')
('erreich', 'achiev', 'logr', 'varmist')
('erreich', 'achiev', 'alcanz', 'saavuttais')
('erreich', 'achiev', 'consegu', 'pääst')
('erreich', 'achiev', 'ten', 'saavut')
('erreich', 'achiev', 'consegu', 'onnistuis')
('erreich', 'achiev', 'obten', 'saavut')
('erreich', 'achiev', 'alcanz', 'saavutet')
('erreich', 'achiev', 'consegu', 'saada')
('erreich', 'achiev', 'logr', 'saada_ai')
('erreich', 'achiev', 'lleg', 'saavut')
('erreich', 'achiev', 'consegu', 'saavu')
('erreich', 'achiev', 'logr', 'saavuttaaks')
('erreich', 'achiev', 'alcanz', 'saada')
('erreich', 'achiev', 'logr', 'saavutet')
('erreich', 'achiev', 'logr', 'saavu')
('erreich', 'achiev', 'logr', 'saavuttan')
('erreich', 'achiev', 'logr', 'toteut')
('erreich', 'achiev', 'consegu', 'saa_ai')
('erreich', 'achiev', 'cumpl', 'saavut')
('erreich', 'achiev', 'logr', 'voida')
('erreich', 'achiev', 'consegu', 'tapahtu')
('erreich', 'achiev', 'lleg', 'pääs')
('erreich', 'achiev', 'consegu', 'saavuttaaks')
